Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-06-28,25.50220939683618,25.661598205566406,25.466789661562796,25.661598205566406,439900,28,0,26,6,1993
1993-06-29,25.626177508688833,25.626177508688833,25.502208439883844,25.537628173828125,207500,29,1,26,6,1993
1993-06-30,25.57304790777241,25.626177508688833,25.502208439883844,25.537628173828125,437600,30,2,26,6,1993
1993-07-01,25.57306185683886,25.57306185683886,25.43138284378158,25.4668025970459,605700,1,3,26,7,1993
1993-07-02,25.37824099347308,25.395950861577386,25.236562048638618,25.325111389160156,285400,2,4,26,7,1993
1993-07-06,25.289697562173902,25.360537051143577,25.024049478537624,25.05946922302246,246400,6,1,27,7,1993
1993-07-07,25.041745487613692,25.165714524681086,25.041745487613692,25.130294799804688,343700,7,2,27,7,1993
1993-07-08,25.147998823106082,25.466776272976443,25.112579106453822,25.413646697998047,248200,8,3,27,7,1993
1993-07-09,25.413665214787763,25.48450469970703,25.36053560109831,25.48450469970703,378200,9,4,27,7,1993
1993-07-12,25.44909272041374,25.48451247367806,25.41367296714942,25.4668025970459,373700,12,0,28,7,1993
1993-07-13,25.48450497844274,25.555344464136812,25.307406264207557,25.449085235595703,389600,13,1,28,7,1993
1993-07-14,25.46678870593956,25.608467641716693,25.44907883896742,25.537628173828125,617300,14,2,28,7,1993
1993-07-15,25.519930603112353,25.519930603112353,25.37825159907009,25.431381225585938,443800,15,3,28,7,1993
1993-07-16,25.44908019284296,25.46679006075726,25.32511111744289,25.360530853271484,216400,16,4,28,7,1993
1993-07-19,25.360551984721678,25.360551984721678,25.272002571367203,25.34284210205078,188200,19,0,29,7,1993
1993-07-20,25.325097406367394,25.413646697998047,25.201128398084474,25.413646697998047,68500,20,1,29,7,1993
1993-07-21,25.378236637620912,25.395946502685547,25.307397177362375,25.395946502685547,142700,21,2,29,7,1993
1993-07-22,25.360543454630992,25.395963208059246,25.21886444091797,25.21886444091797,632400,22,3,29,7,1993
1993-07-23,25.272002571367203,25.34284210205078,25.254292688696307,25.34284210205078,286200,23,4,29,7,1993
1993-07-26,25.413665214787763,25.537634313396484,25.413665214787763,25.48450469970703,121300,26,0,30,7,1993
1993-07-27,25.50222235031022,25.51993222694238,25.3782532138851,25.4668025970459,92800,27,1,30,7,1993
1993-07-28,25.413646697998047,25.466776272976443,25.378226981345787,25.413646697998047,30800,28,2,30,7,1993
1993-07-29,25.466794273709557,25.626183111305792,25.431374532021508,25.555343627929688,331000,29,3,30,7,1993
1993-07-30,25.555325564607095,25.555325564607095,25.378226981345787,25.413646697998047,75300,30,4,30,7,1993
1993-08-02,25.449084957247397,25.57305405585612,25.449084957247397,25.48450469970703,41300,2,0,31,8,1993
1993-08-03,25.537626534038118,25.60846599737803,25.413657473193275,25.502206802368164,81600,3,1,31,8,1993
1993-08-04,25.502206802368164,25.5553363998731,25.431367339028252,25.502206802368164,434000,4,2,31,8,1993
1993-08-05,25.502214849866256,25.502214849866256,25.413665492748667,25.449085235595703,36800,5,3,31,8,1993
1993-08-06,25.519924442166666,25.537634313396484,25.449084957247397,25.48450469970703,402300,6,4,31,8,1993
1993-08-09,25.55533927015873,25.69701821275143,25.502209666686465,25.626178741455078,828200,9,0,32,8,1993
1993-08-10,25.608469009399414,25.626178877317393,25.573049273563452,25.608469009399414,604900,10,1,32,8,1993
1993-08-11,25.59075914148143,25.679308481071335,25.59075914148143,25.608469009399414,542200,11,2,32,8,1993
1993-08-12,25.679307109605258,25.679307109605258,25.44907883896742,25.537628173828125,303700,12,3,32,8,1993
1993-08-13,25.555333959098668,25.590753687385707,25.555333959098668,25.573043823242188,103500,13,4,32,8,1993
1993-08-16,25.590741246856606,25.785549657732332,25.590741246856606,25.714710235595703,241800,16,0,33,8,1993
1993-08-17,25.69703775509302,25.80329704284668,25.69703775509302,25.80329704284668,369300,17,1,33,8,1993
1993-08-18,25.8918300303176,25.99808925068826,25.874120160255824,25.94495964050293,414300,18,2,33,8,1993
1993-08-19,25.96266951056471,25.96266951056471,25.90953990037938,25.94495964050293,28500,19,3,33,8,1993
1993-08-20,25.891824186254816,25.962663650512695,25.874114320190348,25.962663650512695,80700,20,4,33,8,1993
1993-08-23,25.856395338140608,25.927234777423184,25.856395338140608,25.90952491760254,15600,23,0,34,8,1993
1993-08-24,25.90954364933945,26.192901611328125,25.90954364933945,26.192901611328125,273400,24,1,34,8,1993
1993-08-25,26.19290337691436,26.316872493640798,26.157483629278236,26.210613250732422,242300,25,2,34,8,1993
1993-08-26,26.228296279907227,26.369975125443524,26.122037145755,26.228296279907227,120000,26,3,34,8,1993
1993-08-27,26.157483629278236,26.210613250732422,26.157483629278236,26.210613250732422,25700,27,4,34,8,1993
1993-08-30,26.228318474976245,26.3522875697263,26.228318474976245,26.31686782836914,183500,30,0,35,8,1993
1993-08-31,26.29915740505961,26.387706756591797,26.263737664446733,26.387706756591797,66500,31,1,35,8,1993
1993-09-01,26.299150066991007,26.40540925918087,26.299150066991007,26.352279663085938,136500,1,2,35,9,1993
1993-09-02,26.369994027825197,26.405413764598638,26.246024949118162,26.263734817504883,472400,2,3,35,9,1993
1993-09-03,26.24603052730509,26.316870015907803,26.210610783003734,26.281450271606445,630500,3,4,35,9,1993
1993-09-07,26.28143247917517,26.316852199497507,26.068914157241135,26.104333877563477,196400,7,1,36,9,1993
1993-09-08,26.104355572518074,26.104355572518074,25.8387074493242,26.015806198120117,269900,8,2,36,9,1993
1993-09-09,25.909544627303664,26.086643360231236,25.909544627303664,26.068933486938477,239200,9,3,36,9,1993
1993-09-10,26.13976357199929,26.316862241186275,26.104343838161892,26.299152374267578,106500,10,4,36,9,1993
1993-09-13,26.38770731108346,26.38770731108346,26.31686782836914,26.31686782836914,66900,13,0,37,9,1993
1993-09-14,26.246032998368545,26.246032998368545,26.12206388164211,26.210613250732422,184500,14,1,37,9,1993
1993-09-15,26.104351550099665,26.299160143757124,26.015802189346275,26.281450271606445,101000,15,2,37,9,1993
1993-09-16,26.246033282660665,26.263743156670557,26.1574839126112,26.175193786621094,54300,16,3,37,9,1993
1993-09-17,26.160072035223532,26.177892247781585,26.088791184991315,26.124431610107422,200900,17,4,37,9,1993
1993-09-20,26.16008374976325,26.213544411377207,25.910600662231445,25.910600662231445,57800,20,0,38,9,1993
1993-09-21,25.946232745036987,25.98187317463182,25.554188019493846,25.821491241455078,318200,21,1,38,9,1993
1993-09-22,25.910573148629503,26.0709549631671,25.874932745398926,26.035314559936523,439700,22,2,38,9,1993
1993-09-23,26.106623246444173,26.195724349674357,26.0709828051521,26.17790412902832,88500,23,3,38,9,1993
1993-09-24,26.142255496653274,26.16007571171575,26.070974636403367,26.10661506652832,53500,24,4,38,9,1993
1993-09-27,26.302613103172412,26.391714096069336,26.302613103172412,26.391714096069336,274600,27,0,39,9,1993
1993-09-28,26.409566326941466,26.409566326941466,26.320465225973376,26.338285446166992,158300,28,1,39,9,1993
1993-09-29,26.33826944282568,26.40955028028935,26.21352797726426,26.249168395996094,221000,29,2,39,9,1993
1993-09-30,26.24917368207659,26.302634320940292,26.142252404349193,26.19571304321289,99300,30,3,39,9,1993
1993-10-01,26.16007173263147,26.356094068502685,26.124431307927612,26.320453643798828,22700,1,4,39,10,1993
1993-10-04,26.356103897094727,26.356103897094727,26.28482302110529,26.356103897094727,1038500,4,0,40,10,1993
1993-10-05,26.409554705558474,26.409554705558474,26.231352582039186,26.320453643798828,436500,5,1,40,10,1993
1993-10-06,26.338275619961703,26.445196901233537,26.302635192871094,26.302635192871094,209200,6,2,40,10,1993
1993-10-07,26.33828269917032,26.33828269917032,26.21354117082513,26.231361389160156,59400,7,3,40,10,1993
1993-10-08,26.302623443396477,26.320443648981435,26.070960770792038,26.266983032226562,54400,8,4,40,10,1993
1993-10-11,26.320453643798828,26.373914280854613,26.320453643798828,26.320453643798828,467100,11,0,41,10,1993
1993-10-12,26.356103897094727,26.373924116092084,26.338283678097365,26.356103897094727,26200,12,1,41,10,1993
1993-10-13,26.373924116092084,26.373924116092084,26.320463459100008,26.356103897094727,139100,13,2,41,10,1993
1993-10-14,26.463024052822384,26.694686889648438,26.391743179952826,26.694686889648438,108100,14,3,41,10,1993
1993-10-15,26.81942953689798,26.890710412743555,26.748148661052404,26.837249755859375,1502500,15,4,41,10,1993
